message,label
Derbiye özel 50.00 oran! Galatasaray - Fenerbahçe maçı için tıkla.,spam
Hesabında kalan bakiyeyi kullanmak için son gün!,spam
Doktor bugün sinemaya gecikeceğini söyledi.,normal
Kardeşim yarın eve haber verdi.,normal
Yönetici yarın kursuna telefon etti.,normal
Su arıtma cihazında dev kampanya! Musluktan zehir içmeyin.,spam
Kardeşim haftaya işe iptal etmiş.,normal
Facebook hesabınızda şüpheli hareketler tespit edildi.,spam
Doktor bu gece toplantıya rezervasyon yaptırmış.,normal
Kapıcı çöpü almamış.,normal
Emeklilere özel faizsiz kredi imkanı.,spam
Hoca sabah eve mail atmış.,normal
Otobüs terminaline nasıl giderim?,normal
Kurye pazartesi günü kafeye haber verdi.,normal
Mehmet akşam markete mail atmış.,normal
Sadece size özel kredi faiz oranları. Son gün bugün!,spam
"Kaçak iddaa değil, lisanslı bahis! Güvenilir adresimiz güncellendi.",spam
Koli bandı lazım.,normal
Kardeşim birazdan markete bilet almış.,normal
Akbank Direkt şifrenizle hatalı giriş yapıldı. Güvenliğiniz için tıklayın.,spam
Kardeşim yarın hastaneye raporu tamamlamış.,normal
Yönetici haftaya sinemaya mesaj attı.,normal
Annem bu gece tatile mail atmış.,normal
Digiturk Play taraftar paketi ayda sadece 19 TL. Hemen abone ol.,spam
Salatayı sen yapar mısın?,normal
Müdür pazartesi günü sinemaya bilet almış.,normal
Ahmet birazdan işe raporu tamamlamış.,normal
Hukuk Bürosu: Borcunuzu ödemediğiniz takdirde eve icra memurları gelecektir.,spam
Saç ekiminde şok fiyat! İstanbul'un en iyi kliniğinde saçlarına kavuş.,spam
Kurye pazartesi günü maça gidecekmiş.,normal
Yönetici pazartesi günü okula rezervasyon yaptırmış.,normal
Kişiye özel arkadaşlık sitesi. Yalnızlığa son verin!,spam
Babam sabah tatile rezervasyon yaptırmış.,normal
Ayşe sabah toplantıya erken gelecek.,normal
Yurtdışında çalışma imkanı. Vize işlemleri bizden.,spam
Müdür bugün tatile rezervasyon yaptırmış.,normal
Müdür hafta sonu eve mail atmış.,normal
Annem öğleden sonra markete mail atmış.,normal
Ayşe pazartesi günü eve gecikeceğini söyledi.,normal
Kardeşim sabah markete bizi bekliyor.,normal
Fatma yarın eve mail atmış.,normal
Müdür birazdan sinemaya mesaj attı.,normal
Tüketici hakem heyeti kararınız sonuçlandı. Öğrenmek için tıklayın.,spam
Kira yardımı almak için formu doldurun.,spam
Akbank Direkt şifrenizle hatalı giriş yapıldı. Güvenliğiniz için tıklayın.,spam
Numaranız ödül havuzunda seçildi! Bilgi için EVET yazıp gönderin.,spam
Kardeşim bu gece kursuna seni sordu.,normal
Doğum yapan arkadaşı ziyarete gidelim.,normal
Sadece size özel kredi faiz oranları. Son gün bugün!,spam
Forex piyasasında kaldıraçlı işlem sinyalleri.,spam
Veteriner aşı zamanı geldi dedi.,normal
"E-Devlet kapısı şifreniz ile giriş yapılmış, size ait değilse tıklayın.",spam
Hukuk Bürosu: Borcunuzu ödemediğiniz takdirde eve icra memurları gelecektir.,spam
BONUS YAĞMURU! 1000 TL yatır 2000 TL bizden hediye. Hemen tıkla: bit.ly/bet,spam
Yatırımsız 50 TL deneme bonusunu almak için sitemize üye ol.,spam
Su arıtma cihazında dev kampanya! Musluktan zehir içmeyin.,spam
Annem hafta sonu tatile bilet almış.,normal
Kardeşim pazartesi günü hastaneye gidecekmiş.,normal
Toz almayı unuttum.,normal
Dosya masrafsız kredi imkanı sadece bu bankada.,spam
Twitter mavi tik başvurunuz onaylandı. Tamamlamak için tıklayın.,spam
"Kaçak iddaa değil, lisanslı bahis! Güvenilir adresimiz güncellendi.",spam
Market alışverişinizden dolayı puanlarınız birikti. Kullanmak için tıklayın.,spam
İngilizce öğrenmek hiç bu kadar kolay olmamıştı. Online kursa katıl.,spam
"Sohbet hattımızı arayın, yalnız kalmayın.",spam
Akbank Direkt şifrenizle hatalı giriş yapıldı. Güvenliğiniz için tıklayın.,spam
"Bahis sitemize üye olun, 500 TL hoşgeldin bonusu kazanın!",spam
"Ürünü iade edeceğim, bedeni uymadı.",normal
Sigorta borcunuzdan dolayı araç haczi uygulanacaktır.,spam
Numaranız ödül havuzunda seçildi! Bilgi için EVET yazıp gönderin.,spam
Türk Telekom fiber internet altyapısı binanıza geldi. Başvuru için arayın.,spam
Bu coini alan sene sonunda zengin olacak.,spam
"Kaçak iddaa değil, lisanslı bahis! Güvenilir adresimiz güncellendi.",spam
Staj yeri buldun mu?,normal
Annem pazartesi günü sinemaya mail atmış.,normal
Kredi kartı yıllık aidat iadeniz hesabınıza yansıtılmamıştır. İade için tıklayın.,spam
Linkedin profilinizi kimler görüntüledi? Görmek için tıkla.,spam
Varislerinizden ameliyatsız kurtulun.,spam
Ceza dosyanızın son günü. Ödeme yapılmazsa tutuklama kararı çıkabilir.,spam
Ayşe birazdan markete mesaj attı.,normal
Hoca akşam kafeye bilet almış.,normal
"Trafik çok yoğun, 15 dakikaya oradayım.",normal
Müdür akşam maça gecikeceğini söyledi.,normal
Klimanızı yaza hazırladınız mı? Yetkili servis bakımı sadece 100 TL.,spam
Doktor bugün sinemaya iptal etmiş.,normal
Ayşe sabah sinemaya gecikeceğini söyledi.,normal
WhatsApp hesabınız başka bir cihazda açıldı. Siz değilseniz tıklayın.,spam
Fatma öğleden sonra sinemaya raporu tamamlamış.,normal
Ahmet bu gece parka bizi bekliyor.,normal
Garanti BBVA mobil şifreniz bloke oldu. Açmak için tıklayınız.,spam
Hesabınızdan 1.500 TL para çıkışı oldu. Size ait değilse iptal edin: bit.ly/banka,spam
Su arıtma cihazında dev kampanya! Musluktan zehir içmeyin.,spam
Kardeşim bugün kursuna iptal etmiş.,normal
"Hayırlı olsun, çok sevindim.",normal
"Sayın Abone, ödenmemiş fatura borcunuzdan dolayı hattınız kapatılacaktır.",spam
Evde paketleme işi yaparak ayda 10.000 TL kazanın. Kapora gerekmez.,spam
Halkbank esnaf kredisi başvurunuz onaylandı.,spam
Kardeşim haftaya okula gelmeyecekmiş.,normal
Müdür bugün parka haber verdi.,normal
Wifi şifresi değişmiş sanırım.,normal
Babam öğleden sonra markete rezervasyon yaptırmış.,normal
Çağrı merkezimize eleman aranıyor. Hemen başvurun.,spam
Müdür sabah okula haber verdi.,normal
Altın fiyatları uçacak! Alım fırsatını kaçırmayın.,spam
Yönetici birazdan toplantıya rezervasyon yaptırmış.,normal
Bahis severler buraya! En yüksek oranlar sadece bizde.,spam
Babam bu gece toplantıya bilet almış.,normal
Doktor öğleden sonra işe gelmeyecekmiş.,normal
VİP üyelere özel avantajlar başladı. Hemen VİP ol kazan.,spam
Canlı Casino keyfi ayağına geldi. Rulet ve Blackjack masaları seni bekliyor.,spam
Hoca sabah okula haber verdi.,normal
Kredi kartı yıllık aidat iadeniz hesabınıza yansıtılmamıştır. İade için tıklayın.,spam
Annem haftaya tatile raporu tamamlamış.,normal
Dosya masrafsız kredi imkanı sadece bu bankada.,spam
Kredi kartı aidat iadeniz hesabınıza tanımlanmıştır. Detaylar için arayın.,spam
Numaranız ödül havuzunda seçildi! Bilgi için EVET yazıp gönderin.,spam
Varislerinizden ameliyatsız kurtulun.,spam
Kilo vermek isteyenler buraya! 1 ayda 10 kilo garanti.,spam
"Yapay zeka robotu sizin yerinize işlem yapsın, siz uyurken kazanın.",spam
Performansını ikiye katla! Bitkisel çözüm.,spam
"Proje dosyasını mail attım, kontrol eder misin?",normal
Kardeşim akşam parka gecikeceğini söyledi.,normal
Kardeşim pazartesi günü sinemaya gelmeyecekmiş.,normal
D-Smart belgesel kanalları hediye. Kurulum ücretsiz.,spam
Müdür bu gece kursuna mesaj attı.,normal
VİP üyelere özel avantajlar başladı. Hemen VİP ol kazan.,spam
"Su siparişi verdim, gelince alırsın.",normal
Kaybetsen de kazanıyorsun! %30 Kayıp bonusu anında hesabında.,spam
Kredi kartı limitiniz 100.000 TL'ye yükseltildi. Onaylamak için EVET yazın.,spam
Yurtdışında çalışma imkanı. Vize işlemleri bizden.,spam
Hoca sabah okula haber verdi.,normal
Babam pazartesi günü toplantıya bilet almış.,normal
Ayşe bu gece markete mail atmış.,normal
Hakkınızda yapılan şikayet üzerine ifadeye çağrılacaksınız. Detaylar linkte.,spam
Sigarayı bırakmak artık çok kolay. Bitkisel setimizi deneyin.,spam
Tebrikler! Çekilişten iPhone 14 kazandınız. Hemen tıklayın: http://bit.ly/kazan,spam
Doktor bu gece maça haber verdi.,normal
Kredi notunuzu yükseltmek ister misiniz? Danışmanlarımız sizi arasın.,spam
Deneme bonusu hesabına tanımlandı. Çevrim şartsız çekim yapabilirsin.,spam
Hoca birazdan maça gecikeceğini söyledi.,normal
Facebook hesabınızda şüpheli hareketler tespit edildi.,spam
Mülakat çok iyi geçti.,normal
Ahmet yarın kursuna telefon etti.,normal
Annem bu gece sinemaya gecikeceğini söyledi.,normal
TikTok jeton hilesi için tıkla.,spam
Kurye haftaya işe rezervasyon yaptırmış.,normal
Doktor yarın sinemaya seni sordu.,normal
Bütünlemeye kaldım maalesef.,normal
Fatma pazartesi günü maça seni sordu.,normal
FAST işleminiz askıda kaldı. Tamamlamak için tıklayınız.,spam
Annem yarın parka telefon etti.,normal
Elektrik faturası iadeniz var.,spam
Hoca yarın eve gidecekmiş.,normal
Madencilik yaparak evden para kazanın.,spam
"Yollar buzlu, dikkatli sür.",normal
Superonline taahhüdünüz bitiyor. Yeni fiyatlardan etkilenmemek için arayın.,spam
Doğalgaz yardım başvurunuz onaylandı.,spam
Tebrikler! Çekilişten iPhone 14 kazandınız. Hemen tıklayın: http://bit.ly/kazan,spam
BONUS YAĞMURU! 1000 TL yatır 2000 TL bizden hediye. Hemen tıkla: bit.ly/bet,spam
Yönetici bugün parka raporu tamamlamış.,normal
Ziraat Bankası hesabınız şüpheli işlem nedeniyle kısıtlanmıştır. Linke tıklayın.,spam
"Spora başladım, her gün gidiyorum.",normal
Müdür bu gece toplantıya gidecekmiş.,normal
Yeni güvenlik uygulamamız nedeniyle bilgilerinizi güncelleyin.,spam
Tez hocasıyla görüştün mü?,normal
Çağrı merkezimize eleman aranıyor. Hemen başvurun.,spam
Madencilik yaparak evden para kazanın.,spam
Klimanızı yaza hazırladınız mı? Yetkili servis bakımı sadece 100 TL.,spam
Kas yapmam lazım.,normal
Öğle yemeğinde dışarı çıkalım mı?,normal
Performansını ikiye katla! Bitkisel çözüm.,spam
Kardeşim bu gece parka mail atmış.,normal
BONUS YAĞMURU! 1000 TL yatır 2000 TL bizden hediye. Hemen tıkla: bit.ly/bet,spam
Acil şifalar dilerim.,normal
Kredi kartı aidat iadeniz hesabınıza tanımlanmıştır. Detaylar için arayın.,spam
Doktor akşam sinemaya telefon etti.,normal
Annem hafta sonu markete raporu tamamlamış.,normal
Müdür bu gece parka haber verdi.,normal
"Pencereyi kapat, cereyan yapıyor.",normal
"Oyun indirimdeymiş, haberin olsun.",normal
"Hemen arayın, borçlarınızı yapılandıralım. 0850 123 45 67",spam
"Sayın Müşteki, hakkınızda açılan icra takibi başlatılacaktır. Bilgi: 0555...",spam
Fatma öğleden sonra markete erken gelecek.,normal
Hoca bu gece işe haber verdi.,normal
Yönetici birazdan sinemaya erken gelecek.,normal
Canlı Casino keyfi ayağına geldi. Rulet ve Blackjack masaları seni bekliyor.,spam
Yönetici birazdan işe erken gelecek.,normal
Kurye hafta sonu parka rezervasyon yaptırmış.,normal
Bankamatik kartınız kopyalanmış olabilir. Şifrenizi değiştirmek için tıklayın.,spam
Derbiye özel 50.00 oran! Galatasaray - Fenerbahçe maçı için tıkla.,spam
Erkeklere özel güç arttırıcı macun kapıda ödeme ile.,spam
Annem bu gece tatile bilet almış.,normal
Doktor öğleden sonra eve telefon etti.,normal
Ahmet sabah maça erken gelecek.,normal
Falcı bacı şimdi online. İlk fal ücretsiz.,spam
"E-Devlet kapısı şifreniz ile giriş yapılmış, size ait değilse tıklayın.",spam
Ahmet birazdan hastaneye gidecekmiş.,normal
Sadece size özel kredi faiz oranları. Son gün bugün!,spam
Fatma hafta sonu maça gidecekmiş.,normal
"Çay demledim, balkona gel.",normal
Milli Piyango sana çıkmadı ama bizde kazanabilirsin! %100 Hoşgeldin bonusu.,spam
Kardeşim hafta sonu sinemaya bizi bekliyor.,normal
Allah utandırmasın.,normal
Halkbank esnaf kredisi başvurunuz onaylandı.,spam
Doktor öğleden sonra işe raporu tamamlamış.,normal
Dosya masrafı ödemeden kredinizi yapılandırıyoruz. Hukuk bürosunu arayın.,spam
Hafta sonu hava güzel olursa pikniğe gidelim.,normal
Kurye birazdan parka gecikeceğini söyledi.,normal
Bitcoin yatırım fırsatlarını kaçırmayın. Şimdi üye olun.,spam
İşitme cihazlarında devlet ödemeli kampanya.,spam
Hakkınızda yapılan şikayet üzerine ifadeye çağrılacaksınız. Detaylar linkte.,spam
Pandemi destek ödemesi hesabınıza yatırılmıştır. Kontrol edin.,spam
Mehmet birazdan markete gelmeyecekmiş.,normal
Kardeşim bu gece toplantıya mail atmış.,normal
Yönetici akşam kursuna gelmeyecekmiş.,normal
Fatma hafta sonu kafeye bizi bekliyor.,normal
Kredi notunuzu yükseltmek ister misiniz? Danışmanlarımız sizi arasın.,spam
Ceza dosyanızın son günü. Ödeme yapılmazsa tutuklama kararı çıkabilir.,spam
Twitter mavi tik başvurunuz onaylandı. Tamamlamak için tıklayın.,spam
Ahmet bu gece parka seni sordu.,normal
Telefonumun ekranı kırıldı.,normal
Doktor yarın sinemaya gidecekmiş.,normal
Fatma öğleden sonra sinemaya gecikeceğini söyledi.,normal
Bel ve boyun ağrılarınızdan kurtulun. Manyetik korse.,spam
Babam birazdan toplantıya telefon etti.,normal
Arabuluculuk dosyanız hukuk büromuza devredilmiştir. Arayın: 0212...,spam
Numaranız ödül havuzunda seçildi! Bilgi için EVET yazıp gönderin.,spam
İlamsız icra takibine itiraz süreniz dolmak üzeredir.,spam
Dişçiden çok korkuyorum.,normal
Derbiye özel 50.00 oran! Galatasaray - Fenerbahçe maçı için tıkla.,spam
"Geçmiş olsun, bir ihtiyacın var mı?",normal
Bankamızdan ön onaylı 50.000 TL krediniz hazır. Şubeye gitmeden kullanın.,spam
Ayşe bugün tatile mesaj attı.,normal
Garanti BBVA mobil şifreniz bloke oldu. Açmak için tıklayınız.,spam
Doktor hafta sonu kursuna telefon etti.,normal
Market alışverişinizden dolayı puanlarınız birikti. Kullanmak için tıklayın.,spam
Çekiliş sonucunda araba kazanan asil talihli sizsiniz.,spam
Doktor pazartesi günü maça mesaj attı.,normal
D-Smart belgesel kanalları hediye. Kurulum ücretsiz.,spam
Şarj aletini ödünç alabilir miyim?,normal
"Amazon hisselerine yatırım yapın, dolar kazanın.",spam
Superonline taahhüdünüz bitiyor. Yeni fiyatlardan etkilenmemek için arayın.,spam
Erkeklere özel güç arttırıcı macun kapıda ödeme ile.,spam
Haftasonuna özel FreeSpin yağmuru başladı. Slot oyunlarında geçerli.,spam
Ayşe haftaya maça bilet almış.,normal
Fatma akşam toplantıya gelmeyecekmiş.,normal
Hakkınızda tazminat davası açılmıştır. Dava dosyasını görmek için tıklayın.,spam
Kurye pazartesi günü maça gecikeceğini söyledi.,normal
"Vodafone Red tarifesine geç, sınırsız internetin keyfini çıkar.",spam
Yönetici pazartesi günü markete mesaj attı.,normal
Mehmet yarın parka iptal etmiş.,normal
Doğalgaz yardım başvurunuz onaylandı.,spam
Yeni güvenlik uygulamamız nedeniyle bilgilerinizi güncelleyin.,spam
Mehmet pazartesi günü eve bizi bekliyor.,normal
"Tebrikler, 10.000 TL ödül kazandınız! Şifreniz: A123",spam
Acil! Hesabınız bloke edilmiştir. Bilgilerinizi güncellemek için tıklayın.,spam
Digiturk Play taraftar paketi ayda sadece 19 TL. Hemen abone ol.,spam
Fatma sabah hastaneye mesaj attı.,normal
Kredi kartı limitiniz 100.000 TL'ye yükseltildi. Onaylamak için EVET yazın.,spam
Elektrik faturası iadeniz var.,spam
Fatma öğleden sonra sinemaya telefon etti.,normal
"Yapay zeka robotu sizin yerinize işlem yapsın, siz uyurken kazanın.",spam
Mehmet yarın işe gelmeyecekmiş.,normal
Türk Telekom fiber internet altyapısı binanıza geldi. Başvuru için arayın.,spam
VİP üyelere özel avantajlar başladı. Hemen VİP ol kazan.,spam
Hava durumu yağmurlu gösteriyor.,normal
Ehliyet kursumuzda son kontenjanlar. Erken kayıt avantajı.,spam
Kurye birazdan markete seni sordu.,normal
Kişiye özel arkadaşlık sitesi. Yalnızlığa son verin!,spam
Annem yarın hastaneye gecikeceğini söyledi.,normal
Ehliyet kursumuzda son kontenjanlar. Erken kayıt avantajı.,spam
Babam haftaya tatile rezervasyon yaptırmış.,normal
Twitter mavi tik başvurunuz onaylandı. Tamamlamak için tıklayın.,spam
Hoca bugün parka gidecekmiş.,normal
Sigorta borcunuzdan dolayı araç haczi uygulanacaktır.,spam
Ders notlarını fotokopi çektirdim.,normal
Yönetici bugün sinemaya haber verdi.,normal
Ahmet hafta sonu sinemaya mesaj attı.,normal
"Vodafone Red tarifesine geç, sınırsız internetin keyfini çıkar.",spam
Hoca birazdan sinemaya telefon etti.,normal
Yönetici hafta sonu maça mail atmış.,normal
Türk kahvesi mi filtre kahve mi?,normal
Pandemi destek ödemesi hesabınıza yatırılmıştır. Kontrol edin.,spam
Bel ve boyun ağrılarınızdan kurtulun. Manyetik korse.,spam
Evde paketleme işi yaparak ayda 10.000 TL kazanın. Kapora gerekmez.,spam
"Amazon hisselerine yatırım yapın, dolar kazanın.",spam
Kardeşim bu gece sinemaya haber verdi.,normal
Annem bugün parka haber verdi.,normal
Annem akşam okula bilet almış.,normal
Mehmet bu gece toplantıya gelmeyecekmiş.,normal
D-Smart belgesel kanalları hediye. Kurulum ücretsiz.,spam
Format attıktan sonra düzeldi.,normal
Kredi kartı aidat iadeniz hesabınıza tanımlanmıştır. Detaylar için arayın.,spam
Doktor bu gece toplantıya telefon etti.,normal
Dosya masrafsız kredi imkanı sadece bu bankada.,spam
Mehmet haftaya maça haber verdi.,normal
Müdür pazartesi günü markete mail atmış.,normal
"Belge yok, evrak yok! 5 dakika içinde çekim garantisi.",spam
Doğalgaz yardım başvurunuz onaylandı.,spam
Bu coini alan sene sonunda zengin olacak.,spam
Yönetici bugün parka bizi bekliyor.,normal
Müdür akşam markete mail atmış.,normal
İlamsız icra takibine itiraz süreniz dolmak üzeredir.,spam
Acil! Hesabınız bloke edilmiştir. Bilgilerinizi güncellemek için tıklayın.,spam
Bahis severler buraya! En yüksek oranlar sadece bizde.,spam
Tüketici hakem heyeti kararınız sonuçlandı. Öğrenmek için tıklayın.,spam
"Sn. Kullanıcı, kargonuzu teslim almadığınız için hakkınızda yasal işlem başlatılmıştır.",spam
Fatma yarın eve rezervasyon yaptırmış.,normal
Müdür sabah tatile bilet almış.,normal
Uçak rötar yapmış.,normal
Yeni güvenlik uygulamamız nedeniyle bilgilerinizi güncelleyin.,spam
Müdür hafta sonu tatile haber verdi.,normal
Doktor birazdan işe mail atmış.,normal
Kurye hafta sonu eve gelmeyecekmiş.,normal
Babam haftaya hastaneye rezervasyon yaptırmış.,normal
Cinsel performans arttırıcı ürünlerde dev indirim.,spam
Sadece size özel kredi faiz oranları. Son gün bugün!,spam
Kombinin basıncı düşmüş yine.,normal
Tüketici hakem heyeti kararınız sonuçlandı. Öğrenmek için tıklayın.,spam
"Hemen arayın, borçlarınızı yapılandıralım. 0850 123 45 67",spam
Milli Piyango sana çıkmadı ama bizde kazanabilirsin! %100 Hoşgeldin bonusu.,spam
Müdür akşam maça iptal etmiş.,normal
Horlamaya son veren mucizevi aparat.,spam
Ziraat Bankası hesabınız şüpheli işlem nedeniyle kısıtlanmıştır. Linke tıklayın.,spam
Kurye birazdan eve mesaj attı.,normal
Babam pazartesi günü kafeye gelmeyecekmiş.,normal
Kardeşim bu gece kafeye bilet almış.,normal
Mehmet akşam okula erken gelecek.,normal
Garanti BBVA mobil şifreniz bloke oldu. Açmak için tıklayınız.,spam
D-Smart belgesel kanalları hediye. Kurulum ücretsiz.,spam
Market alışverişinizden dolayı puanlarınız birikti. Kullanmak için tıklayın.,spam
Arabuluculuk dosyanız hukuk büromuza devredilmiştir. Arayın: 0212...,spam
Ahmet pazartesi günü maça gidecekmiş.,normal
Ayşe birazdan parka haber verdi.,normal
Kardeşim haftaya kafeye erken gelecek.,normal
Hakkınızda tazminat davası açılmıştır. Dava dosyasını görmek için tıklayın.,spam
Ayşe akşam kafeye mail atmış.,normal
Bu coini alan sene sonunda zengin olacak.,spam
Babam hafta sonu kafeye gelmeyecekmiş.,normal
Doktor sabah tatile bizi bekliyor.,normal
Yönetici birazdan kursuna bilet almış.,normal
Tüketici hakem heyeti kararınız sonuçlandı. Öğrenmek için tıklayın.,spam
"Belge yok, evrak yok! 5 dakika içinde çekim garantisi.",spam
Hoca birazdan toplantıya gelmeyecekmiş.,normal
Ziraat Bankası hesabınız şüpheli işlem nedeniyle kısıtlanmıştır. Linke tıklayın.,spam
Babam akşam sinemaya gecikeceğini söyledi.,normal
"Sayın Abone, ödenmemiş fatura borcunuzdan dolayı hattınız kapatılacaktır.",spam
Klimanızı yaza hazırladınız mı? Yetkili servis bakımı sadece 100 TL.,spam
Pasaportumun süresi dolmuş.,normal
Bu coini alan sene sonunda zengin olacak.,spam
Ceza dosyanızın son günü. Ödeme yapılmazsa tutuklama kararı çıkabilir.,spam
Sigarayı bırakmak artık çok kolay. Bitkisel setimizi deneyin.,spam
Performansını ikiye katla! Bitkisel çözüm.,spam
BONUS YAĞMURU! 1000 TL yatır 2000 TL bizden hediye. Hemen tıkla: bit.ly/bet,spam
Ziraat Bankası hesabınız şüpheli işlem nedeniyle kısıtlanmıştır. Linke tıklayın.,spam
Kaybetsen de kazanıyorsun! %30 Kayıp bonusu anında hesabında.,spam
İndirim kodu var mı sende?,normal
Mehmet pazartesi günü parka haber verdi.,normal
Fatma akşam işe iptal etmiş.,normal
Ahmet birazdan toplantıya haber verdi.,normal
Ziraat Bankası hesabınız şüpheli işlem nedeniyle kısıtlanmıştır. Linke tıklayın.,spam
Superonline taahhüdünüz bitiyor. Yeni fiyatlardan etkilenmemek için arayın.,spam
Ahmet hafta sonu işe mesaj attı.,normal
Kredi notunuzu yükseltmek ister misiniz? Danışmanlarımız sizi arasın.,spam
Altın fiyatları uçacak! Alım fırsatını kaçırmayın.,spam
"Sayın kullanıcımız, 2500 TL değerinde hediye çeki kazandınız.",spam
Metrobüs çok kalabalıktı binemedim.,normal
Ahmet öğleden sonra toplantıya bilet almış.,normal
"Sohbet hattımızı arayın, yalnız kalmayın.",spam
Arabuluculuk dosyanız hukuk büromuza devredilmiştir. Arayın: 0212...,spam
Akşama ne yemek yapalım?,normal
Emeklilere özel faizsiz kredi imkanı.,spam
Kurye hafta sonu tatile erken gelecek.,normal
Hoca yarın markete telefon etti.,normal
"Belge yok, evrak yok! 5 dakika içinde çekim garantisi.",spam
Borç kapatma kredisi ile tüm borçlarınızı tek çatı altında toplayın.,spam
Sigorta borcunuzdan dolayı araç haczi uygulanacaktır.,spam
"Sayın Müşteki, hakkınızda açılan icra takibi başlatılacaktır. Bilgi: 0555...",spam
Bel ve boyun ağrılarınızdan kurtulun. Manyetik korse.,spam
Müdür bu gece markete iptal etmiş.,normal
Ayşe bu gece okula erken gelecek.,normal
Forex piyasasında kaldıraçlı işlem sinyalleri.,spam
Müdür öğleden sonra işe gelmeyecekmiş.,normal
"Hemen arayın, borçlarınızı yapılandıralım. 0850 123 45 67",spam
Dosya masrafsız kredi imkanı sadece bu bankada.,spam
Yönetici hafta sonu eve bizi bekliyor.,normal
Ayşe akşam toplantıya seni sordu.,normal
Pandemi destek ödemesi hesabınıza yatırılmıştır. Kontrol edin.,spam
"Sayın Müşteki, hakkınızda açılan icra takibi başlatılacaktır. Bilgi: 0555...",spam
Performansını ikiye katla! Bitkisel çözüm.,spam
